"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"236",="2615","萬海","50.4","+1.1","+2.23","7.53","90.34","2.18","26.11","58.9","0","96.5","83.3","84.4","67.4","78.4","43.5","121","49.7","39.2","28.3","15.1"
"237",="2640","大車隊","117","0","0","4.69","56.3","3.92","47.08","83.1","52.4","82.8","89","88.7","90","87.1","87.7","84.3","82.8","84.3","85.2","83.3"
"238",="2729","瓦城","291.5","+3","+1.04","11.4","136.8","9.99","119.8","91.3","84.9","85.8","82.9","91.8","88.3","88.4","89.2","89.7","64.5","90.9","102","138"
"239",="3035","智原","295","+26.5","+9.87","2.54","30.47","1.99","23.91","122","499","76.1","98.8","92","159","87.7","79.4","75.5","78.6","92.6","71","50.6"
"240",="3265","台星科","77.5","+3.2","+4.31","3.34","40.13","1.93","23.13","53.3","97.6","65.2","62.8","61","-20.8","18.9","24.3","43.6","36.5","54.2","122","74.3"
"241",="3541","西柏","53.6","+0.6","+1.13","4.43","53.17","3.92","47.1","88.8","76.5","93","89.9","78.9","93.7","86.8","90.1","94.3","93.1","85.8","89.7","94"
"242",="3557","嘉威","60.9","+0.5","+0.83","1.12","13.44","1.67","20","28.9","0","0","0","0","0","0","0","0","23.7","66","88.6","169"
"243",="3558","神準","278","-2.5","-0.89","10.7","128.4","6.1","73.25","59.1","71.3","54.8","60.5","75.2","78.3","70.1","62.9","68.5","60.1","52.2","32.8","23"
"244",="4768","晶呈科技","226","+20","+9.71","1.82","10.89","1.47","8.84","80.2","","","","","","","87.1","93.3","66.7","57.8","93","83.3"
"245",="4923","力士","40.7","0","0","1.68","20.13","1.36","16.31","75.2","23.8","0","76.9","69","97.6","214","0","77.3","0","188","78.7","77.3"
"246",="4952","凌通","48.75","+0.55","+1.14","3.1","37.2","2.88","34.6","98.9","89.3","178","89","97.9","89.6","92.1","90.9","95.8","87.8","92.7","89.3","94"
"247",="4953","緯軟","126","-0.5","-0.4","3.74","44.86","2.29","27.52","75.8","54.1","27.3","50","62.3","285","72.4","59.1","51.6","51.9","70.6","66.4","60"
"248",="6214","精誠","104.5","+1.5","+1.46","3.97","47.66","4.33","51.98","137","328","155","85.5","162","218","111","104","117","68.4","74.4","102","114"
"249",="6261","久元","67.5","+0.1","+0.15","4.96","59.55","4.12","49.46","86","79.8","86.2","88.7","84.4","88.9","89.9","102","83.8","95.8","97.1","59.5","75.2"
